lamA thr_arm1 thr_arm2 thr_arm3 thr_arm4 thr_arm5
4620.0 0.516971947643979 0.0 0.0 0.0 0.0
4630.0 0.5159436753926702 0.0 0.0 0.0 0.0
4640.0 0.5149154031413613 0.0 0.0 0.0 0.0
4650.0 0.5138871308900524 0.0 0.0 0.0 0.0
4660.0 0.5128588586387435 0.0 0.0 0.0 0.0
4670.0 0.5118305863874346 0.0 0.0 0.0 0.0
4680.0 0.5108023141361256 0.0 0.0 0.0 0.0
4690.0 0.5097740418848168 0.0 0.0 0.0 0.0
4700.0 0.5087457696335078 0.0 0.0 0.0 0.0
4710.0 0.507717497382199 0.0 0.0 0.0 0.0
4720.0 0.50668922513089 0.0 0.0 0.0 0.0
4730.0 0.5056609528795811 0.0 0.0 0.0 0.0
4740.0 0.5046326806282723 0.0 0.0 0.0 0.0
4750.0 0.5036044083769634 0.0 0.0 0.0 0.0
4760.0 0.5025761361256544 0.0 0.0 0.0 0.0
4770.0 0.5015478638743456 0.0 0.0 0.0 0.0
4780.0 0.5005195916230366 0.0 0.0 0.0 0.0
4790.0 0.49949131937172775 0.0 0.0 0.0 0.0
4800.0 0.4984630471204188 0.0 0.0 0.0 0.0
4810.0 0.4974347748691099 0.0 0.0 0.0 0.0
4820.0 0.49640650261780106 0.0 0.0 0.0 0.0
4830.0 0.49537823036649214 0.0 0.0 0.0 0.0
4840.0 0.4943499581151833 0.0 0.0 0.0 0.0
4850.0 0.4933216858638743 0.0 0.0 0.0 0.0
4860.0 0.49229341361256546 0.0 0.0 0.0 0.0
4870.0 0.49126514136125654 0.0 0.0 0.0 0.0
4880.0 0.4902368691099477 0.0 0.0 0.0 0.0
4890.0 0.4892085968586387 0.0 0.0 0.0 0.0
4900.0 0.48818032460732985 0.0 0.0 0.0 0.0
4910.0 0.4871520523560209 0.0 0.0 0.0 0.0
4920.0 0.486123780104712 0.0 0.0 0.0 0.0
4930.0 0.4850955078534031 0.0 0.0 0.0 0.0
4940.0 0.48406723560209425 0.0 0.0 0.0 0.0
4950.0 0.4830389633507853 0.0 0.0 0.0 0.0
4960.0 0.4820106910994764 0.0 0.0 0.0 0.0
4970.0 0.4809824188481675 0.0 0.0 0.0 0.0
4980.0 0.47995414659685864 0.0 0.0 0.0 0.0
4990.0 0.4789258743455497 0.0 0.0 0.0 0.0
5000.0 0.4776960482856691 0.0 0.0 0.0 0.0
5010.0 0.4761496428503713 0.0 0.0 0.0 0.0
5020.0 0.47460323741507343 0.0 0.0 0.0 0.0
5030.0 0.47305683197977555 0.0 0.0 0.0 0.0
5040.0 0.4715104265444778 0.0 0.0 0.0 0.0
5050.0 0.4699640211091799 0.0 0.0 0.0 0.0
5060.0 0.4684176156738821 0.0 0.0 0.0 0.0
5070.0 0.46687121023858424 0.0 0.0 0.0 0.0
5080.0 0.4653248048032865 0.0 0.0 0.0 0.0
5090.0 0.4637783993679886 0.0 0.0 0.0 0.0
5100.0 0.4622319939326907 0.0 0.0 0.0 0.0
5110.0 0.46068558849739294 0.0 0.0 0.0 0.0
5120.0 0.45913918306209506 0.0 0.0 0.0 0.0
5130.0 0.4575927776267973 0.0 0.0 0.0 0.0
5140.0 0.4560463721914994 0.0 0.0 0.0 0.0
5150.0 0.4544999667562015 0.0 0.0 0.0 0.0
5160.0 0.45295356132090375 0.0 0.0 0.0 0.0
5170.0 0.45140715588560587 0.0 0.0 0.0 0.0
5180.0 0.4498607504503081 0.0 0.0 0.0 0.0
5190.0 0.4483143450150102 0.0 0.0 0.0 0.0
5200.0 0.44676793957971245 0.0 0.0 0.0 0.0
5210.0 0.44522153414441457 0.0 0.0 0.0 0.0
5220.0 0.4436751287091168 0.0 0.0 0.0 0.0
5230.0 0.4421287232738189 0.0 0.0 0.0 0.0
5240.0 0.4405823178385211 0.0 0.0 0.0 0.0
5250.0 0.43903591240322326 0.0 0.0 0.0 0.0
5260.0 0.43748950696792543 0.0 0.0 0.0 0.0
5270.0 0.4359431015326276 0.0 0.0 0.0 0.0
5280.0 0.4343966960973298 0.0 0.0 0.0 0.0
5290.0 0.4328502906620319 0.0 0.0 0.0 0.0
5300.0 0.43130388522673413 0.0 0.0 0.0 0.0
5310.0 0.42975747979143625 0.0 0.0 0.0 0.0
5320.0 0.4282110743561385 0.0 0.0 0.0 0.0
5330.0 0.4266646689208406 0.0 0.0 0.0 0.0
5340.0 0.4251182634855428 0.0 0.0 0.0 0.0
5350.0 0.42357185805024494 0.0 0.0 0.0 0.0
5360.0 0.42202545261494717 0.0 0.0 0.0 0.0
5370.0 0.4204790471796493 0.0 0.0 0.0 0.0
5380.0 0.4189326417443514 0.0 0.0 0.0 0.0
5390.0 0.41738623630905364 0.0 0.0 0.0 0.0
5400.0 0.41583983087375576 0.4442552 0.0 0.0 0.0
5410.0 0.414293425438458 0.4442552 0.0 0.0 0.0
5420.0 0.4127470200031601 0.4442552 0.0 0.0 0.0
5430.0 0.4112006145678622 0.4442552 0.0 0.0 0.0
5440.0 0.40965420913256445 0.4442552 0.0 0.0 0.0
5450.0 0.40810780369726657 0.4442552 0.0 0.0 0.0
5460.0 0.4065613982619688 0.4442552 0.0 0.0 0.0
5470.0 0.4050149928266709 0.4442552 0.0 0.0 0.0
5480.0 0.40346858739137315 0.4442552 0.0 0.0 0.0
5490.0 0.40192218195607526 0.4442552 0.0 0.0 0.0
5500.0 0.4003757765207775 0.4442552 0.0 0.0 0.0
5510.0 0.4 0.4456563237696335 0.0 0.0 0.0
5520.0 0.4 0.44750721382198955 0.0 0.0 0.0
5530.0 0.4 0.44935810387434555 0.0 0.0 0.0
5540.0 0.4 0.4512089939267015 0.0 0.0 0.0
5550.0 0.4 0.45305988397905755 0.0 0.0 0.0
5560.0 0.4 0.45491077403141356 0.0 0.0 0.0
5570.0 0.4 0.4567616640837696 0.0 0.0 0.0
5580.0 0.4 0.45861255413612567 0.0 0.0 0.0
5590.0 0.4 0.4604634441884816 0.0 0.0 0.0
5600.0 0.4 0.4623143342408376 0.0 0.0 0.0
5610.0 0.0 0.4641652242931937 0.0 0.0 0.0
5620.0 0.0 0.4660161143455497 0.0 0.0 0.0
5630.0 0.0 0.46786700439790574 0.0 0.0 0.0
5640.0 0.0 0.4697178944502617 0.0 0.0 0.0
5650.0 0.0 0.47156878450261774 0.0 0.0 0.0
5660.0 0.0 0.47341967455497375 0.0 0.0 0.0
